user,total_volume,Points
0xf7a819deba0d69c4f3567cb9fac04b05ec3a6516,221077428.494782,377174.051472787
0xbf65aee230ea44c84b0f8217838e2cbf7e320858,185446105.914334,316384.443105696
0x10890742a1a20a936132072c20ae77b081486190,135159131.943262,230591.235548899
0x73ec4dcb8b04a621506a1825bbcab3975247a47e,133286718.886978,227396.763714856
0xdbf1d832d1e66ce1d8498d578364c0d7d0614c7b,114873041.330767,195981.700613769
0x0d2afd45c2dc4b435bdf1f1f206de15f4d606479,83985322.2429149,143285.022221775
0xc5716bbea3c822f3346de7185fe22b14fdc2670e,65578912.8375948,111882.359110759
0xd59586b52f6f8c90c04c2b9718be7b2ac7d6cc61,55788782.8777093,95179.6906992607
0xc1a2d8a1182bc200f3bf9529a89fe9249373d709,51248229.9392753,87433.1796267555
0x1407c9d09d1603a9a5b806a0c00f4d3734df15e0,48683319.4915982,83057.2572551141
0x9339505e75ca333238ddd746c4b2364fa1952543,44344278.1,75654.5394276095
0x1d00fc664ec6c35b5d59f64a077f7cfec41f63f2,38264026.1869862,65281.1907613945
0x95d7c73196feaa1e85a1641639f7c0c1341fda52,35852947.2463917,61167.716045154
0xf2830011799adb2ae035e033607254b25bfafd97,32450266.9327548,55362.4978078186
0xf19390efef205b3f48395c936fe4027df6dc46d9,30957970.4326405,52816.5322572918
0xf2164efe375e76d11fe90be8f463ff2050430008,29475188.97,50286.8000475377
0xe7a0bb30b3b4a9a1a9faea22b614e74a558d8726,29379866.0194176,50124.1722129627
0xe3b02b63886e91e1bfcacda5b0a1d5add013ec00,26306075.8347726,44880.0642766014
0x3637a2281143df6d0ad8cf2bbcfd6a48a0bdf497,22355291.3733722,38139.740798317
0x94bb64f974b5cc1aeeafaf66ac43c6195d6e7bb2,21757144.3148464,37119.258739263
0x06fa8a80f50e473e8488e7586b8cb77cff64f54c,20043108.7959473,34194.9904164718
0x20ac953aa636673f9c966b10abc5bdd8d80d2f3c,19630236.1394763,33490.5998613448
0xad63e4d4be2229b080d20311c1402a2e45cf7e75,19410781.25,33116.1939785604
0x2fcc020f72e5d2edd2a24d04f3dc90d7fdfbd1dd,19272266.5613082,97991.2645609736
0xd0dc07b98769f23a7bdbef15a35faa256cb65dcf,18954837.6483067,96377.2737781935
0x56f2c4cb8518d0a4ec749593df574f7597a36140,18931525.2406934,96258.7401176757
0x670626189b6b26a1a15c6b4310cb4bcf1ba1cd2e,15855293.61,80617.4128967611
0x2f45724d7e384b38d5c97206e78470544304887f,15577814.8220813,79206.5514793713
0xacb17fc73cf202ebe532e107cec195d50dee61dd,15045527.210487,76500.0957542838
0x0d2bab6899c0a058b0f3162f656660a2f41a7712,14553101.3150813,73996.319873026
0x7a352ec165f10afac3a492aad18a8bcd06bdcb9d,14400969.846321,73222.7961696299
0x1cf8423299241f155716eb19d0ca65bea4353f03,13687603.0467687,69595.6299221328
0x53a004783bcef5e7bc01943f7f5d95ef6d9b6d7c,13050214.5837731,66354.7811456371
0x5c322db0c030bffd1a09c217caeb2e34e29b803b,11569691.3,58826.9510210706
0x939888aab4d2324179d16c1f26095a326d71247c,11274026.5423424,57323.6216956477
0xbc16de296c1bd19c7eb97d3cf899578e442b8246,11217462.9072177,57036.0197098407
0xe0b2add5c2d094008d014369ab6bc5c42cf3acad,10728651.34,54550.621147543
0x7020f74bc01f9a26b97130522c7b0fed7f20ebeb,10564065.3220049,53713.7713675189
0x49e59de5dbf06ed83116afaa0570bfe13a8d5ba7,10375949.9339075,52757.2847651568
0xc9026fd0187f59ae51120056654fc4f50efbb6e8,10142046.54,51567.9856611212
0x98e1837ccf70ea961a0a598cea04f1d9faa5201f,9589480.74628226,48758.4240194072
0x0a56af152fb131985dbdb1c30b6d16b7869d499b,9308255.19090683,47328.5118858014
