user,total_volume,Point,
0xf7a819deba0d69c4f3567cb9fac04b05ec3a6516,221077428.5,661637.4347,
0xbf65aee230ea44c84b0f8217838e2cbf7e320858,185446105.9,555000.5111,
0x10890742a1a20a936132072c20ae77b081486190,135159131.9,404502.359,
0x73ec4dcb8b04a621506a1825bbcab3975247a47e,133286718.9,398898.6274,
0xdbf1d832d1e66ce1d8498d578364c0d7d0614c7b,114873041.3,343790.4308,
0x0d2afd45c2dc4b435bdf1f1f206de15f4d606479,83985322.24,251350.0973,
0xc5716bbea3c822f3346de7185fe22b14fdc2670e,65578912.84,196263.6528,
0xd59586b52f6f8c90c04c2b9718be7b2ac7d6cc61,55788782.88,166963.8888,
0xc1a2d8a1182bc200f3bf9529a89fe9249373d709,51248229.94,153374.9855,
0x1407c9d09d1603a9a5b806a0c00f4d3734df15e0,48683319.49,145698.7574,
0x9339505e75ca333238ddd746c4b2364fa1952543,44344278.1,132712.935,
0x1d00fc664ec6c35b5d59f64a077f7cfec41f63f2,38264026.19,114516.0422,
0x95d7c73196feaa1e85a1641639f7c0c1341fda52,35852947.25,107300.1989,
0xf2830011799adb2ae035e033607254b25bfafd97,32450266.93,97116.70484,
0xf19390efef205b3f48395c936fe4027df6dc46d9,30957970.43,92650.58075,
0xf2164efe375e76d11fe90be8f463ff2050430008,29475188.97,88212.93314,
0xe7a0bb30b3b4a9a1a9faea22b614e74a558d8726,29379866.02,87927.65195,
0xe3b02b63886e91e1bfcacda5b0a1d5add013ec00,26306075.83,78728.45569,
0x3637a2281143df6d0ad8cf2bbcfd6a48a0bdf497,22355291.37,66904.60323,
0x94bb64f974b5cc1aeeafaf66ac43c6195d6e7bb2,21757144.31,65114.47708,
0x06fa8a80f50e473e8488e7586b8cb77cff64f54c,20043108.8,59984.73557,
0x20ac953aa636673f9c966b10abc5bdd8d80d2f3c,19630236.14,58749.09606,
0xad63e4d4be2229b080d20311c1402a2e45cf7e75,19410781.25,58092.31453,
0x2fcc020f72e5d2edd2a24d04f3dc90d7fdfbd1dd,19272266.56,57677.76971,
0xd0dc07b98769f23a7bdbef15a35faa256cb65dcf,18954837.65,56727.7729,
0x56f2c4cb8518d0a4ec749593df574f7597a36140,18931525.24,56658.00385,
0x670626189b6b26a1a15c6b4310cb4bcf1ba1cd2e,15855293.61,47451.50087,
0x2f45724d7e384b38d5c97206e78470544304887f,15577814.82,46621.06624,
0xacb17fc73cf202ebe532e107cec195d50dee61dd,15045527.21,45028.04332,
0x0d2bab6899c0a058b0f3162f656660a2f41a7712,14553101.32,43554.31799,
0x7a352ec165f10afac3a492aad18a8bcd06bdcb9d,14400969.85,43099.02106,
0x1cf8423299241f155716eb19d0ca65bea4353f03,13687603.05,40964.06688,
0x53a004783bcef5e7bc01943f7f5d95ef6d9b6d7c,13050214.58,39056.49961,
0x5c322db0c030bffd1a09c217caeb2e34e29b803b,11569691.3,34625.61024,
0x939888aab4d2324179d16c1f26095a326d71247c,11274026.54,33740.74889,
0xbc16de296c1bd19c7eb97d3cf899578e442b8246,11217462.91,33571.46604,
0xe0b2add5c2d094008d014369ab6bc5c42cf3acad,10728651.34,32108.55762,
0x7020f74bc01f9a26b97130522c7b0fed7f20ebeb,10564065.32,31615.98689,
0x49e59de5dbf06ed83116afaa0570bfe13a8d5ba7,10375949.93,31052.99778,
0xc9026fd0187f59ae51120056654fc4f50efbb6e8,10142046.54,30352.97497,
0x98e1837ccf70ea961a0a598cea04f1d9faa5201f,9589480.746,28699.2638,
0x0a56af152fb131985dbdb1c30b6d16b7869d499b,9308255.191,27857.6159,
0x29a44ee57541c9a676fa979d55f304ea0aad0857,9261205.79,27716.80711,
0x4f1df0b690c00bd96b1e71c66cb4e75cb22ef1d1,9178888.945,27470.45041,
0x82585080306b37b6fda88f4d65179a6598897d4c,8434033.42,25241.25721,
0xbae5e1fd212efdfae8a9ff44d5667c95f10f7902,8204805.04,24555.22572,
0x4b5d297614ec43385775570dacf12d1b238e046d,8170949.674,24453.90386,
0xdb36e1fa10690f5dcd1a74c2957efc65cf834a1a,7779952.399,23283.73268,
0x1b0a499198e39b5ecca58d929fc49f4264385e28,7688067.28,23008.74019,
0x905c1ca2ac32ee0799e4aa31927f1166a93f3b17,7447150.88,22287.72895,
0x6c022e721f0a619f760ae654dabb872c1f01e3bd,7415068.694,22191.71384,
0xf85385347f56819c316939434d427d0c9537eddc,7385230.26,22102.41379,
0x0761704781e8240b7133b0df0a47c427e96f3ce6,7284318.21,21800.40562,
0x8e1378c5c12b3207edef52204a1c81c170818e62,7248048.195,21691.85722,
0x4415af1941df328b5ada8f93a7141abaec8296df,7181883.197,21493.83955,
0x5c62abc26dfe4febbd48035b89aa78977348dfde,7105950.28,21266.58857,
0x25ca93c584756d674d6fe6d1e241a89791b18df3,6919150.721,20707.53747,
0x8755be5302ba601bfa7e7614c82d8eef349f369e,6748555.672,20196.98299,
0x2573e5efe8d28d6bacdbbab396ebd8ecf0ac0dd6,6642846.26,19880.61734,
0x2bc967083adc9bdd32058182fb7b44b3a73546f3,6639104.883,19869.4202,
0xa1f62daf42d8bcd3669dec72271b3f658b9c3891,6619305.796,19810.16577,
0x181862988237fc8ea3fe8134f72c329ba4442263,6572980.057,19671.52275,
0xd38cd5ed56e1062501fb960fdb7464c8a45cc001,6553708.236,19613.84631,
0x73a6b16ad155acd15f1a69e61369db883dfc0b0b,6447771.92,19296.80159,
0xc97cfd2c3a3e61316e931b784bde21e61ce15b82,6415351.211,19199.77334,
0x5779da0549e14c3768c3bc49090770fd713a8e4d,6361573.963,19038.82955,
0x1b0653f5c282660c12b1b813395a463169062e51,6358507.52,19029.65234,
0xfa91696b55ee01e0d9378b9a0b03a7be699a8bf1,6301197.37,18858.13532,
0xd935c61a262055fb5b56749374edc4fd4f12ae1c,6247644.43,18697.86283,
0x4b992d83fad4095a80309aeab5c3ffe8095223a7,6207546.891,18577.85948,
0x42ec123686699fe53c121d06ac8277fa37ac2edf,6023881.024,18028.18684,
0x1dabda9a2071353fdf113208b4910b206dd008f7,5947846.324,17800.63126,
0x1fb15dbaee24cd07887010960eea11540ef21da8,5943400.075,17787.32459,
0x6c554ee877ff6d9c84d821f7afb16fc747b200c6,5932562.374,17754.88967,
0x2e9cef5d459f013bc6a48b2e636721fcf3f8939f,5864098.679,17549.99248,
0x58e9774a7ae485a4bb86af399f7acb11c825b4b8,5724872.106,17133.31714,
0x8f25818ff64be1abee91abca70c306b33b602062,5712219.115,17095.44944,
